em,_company_name,link,ticker,market_id,market_name
21078,Белон ао,https://www.finam.ru/quote/moex/blng/,BLNG,1,МосБиржа акции
4206126,iГЕНЕТИКО,https://www.finam.ru/quote/moex/geco/,MOEX.GECO:TQBR,1,МосБиржа акции
19736,ЛСР ао,https://www.finam.ru/quote/moex/lsrg/,LSRG,1,МосБиржа акции
4498995,iАРТГЕН ао,https://www.finam.ru/quote/moex/abio/,MOEX.ABIO:TQBR,1,МосБиржа акции
74584,iФармсинтз,https://www.finam.ru/quote/moex/life/,LIFE,1,МосБиржа акции
17564,Акрон,https://www.finam.ru/quote/moex/akrn/,AKRN,1,МосБиржа акции
19737,М.видео,https://www.finam.ru/quote/moex/mvid/,MVID,1,МосБиржа акции
3994860,iВУШХолднг,https://www.finam.ru/quote/moex/wush/,MOEX.WUSH:TQBR,1,МосБиржа акции
450432,НКХП ао,https://www.finam.ru/quote/moex/nkhp/,NKHP,1,МосБиржа акции
2388781,FIXP-гдр,https://www.finam.ru/quote/moex/fixp/,MOEX.FIXP:TQBR,1,МосБиржа акции
4439728,СТГ,https://www.finam.ru/quote/moex/carm/,MOEX.CARM:TQBR,1,МосБиржа акции
18371,Таттел. ао,https://www.finam.ru/quote/moex/ttlk/,TTLK,1,МосБиржа акции
